property_type,property_address,property_price,property_extras,property_image,property_details_link,last_updated_at_UTC
"4 bed flat, Cardiff","Salisbury Road, Cardiff, Cardiff, CF24 4AA",From £83 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/http://images.portalimages.com/29420/31042376/image/s2/637703420920155882/ad7a4c31da386d0645cb2e68ed8f70c93a244af6.jpg",https://www.accommodationforstudents.com/property/AGT29420_31042376,23-Oct-2021 19:59:55
"4 bed house, Cardiff","Gelligaer Street, Cardiff, Cardiff, CF24 4LA",From £81 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/http://images.portalimages.com/29420/31044859/image/s2/637704163696002603/61f3ff32032e0c3e9842d5aaa911f2504614e01a.jpg",https://www.accommodationforstudents.com/property/AGT29420_31044859,23-Oct-2021 19:59:55
"4 bed house, Cardiff","Minny Street, Cardiff, Cardiff, CF24 4ES",From £81 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/http://images.portalimages.com/29420/31042558/image/s2/637703437185416505/65c0611e7caab3e238896d4ff88d69d0e7f71eda.jpg",https://www.accommodationforstudents.com/property/AGT29420_31042558,23-Oct-2021 19:59:55
"4 bed house, Lincoln","Princess Street, Lincoln, Lincoln, LN5 7QL",From £90 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://studenthousingderby.co.uk/wp-content/uploads/2021/01/DJI_0302-scaled-1.jpg",https://www.accommodationforstudents.com/property/AGT22114_30755,23-Oct-2021 19:59:56
"4 bed house, Cardiff","May Street, Cardiff, Cardiff, CF24 4EX",From £81 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/http://images.portalimages.com/29420/31044833/image/s2/637704159533998938/b37e7b5135f90bcb586c1cb904c9396c3eb8dbf2.jpg",https://www.accommodationforstudents.com/property/AGT29420_31044833,23-Oct-2021 19:59:55
"4 bed house, Lincoln","Pennell Street, Lincoln, Lincoln, LN5 7TA",From £24 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://studenthousingderby.co.uk/wp-content/uploads/2021/09/DSC_0927-scaled.jpg",https://www.accommodationforstudents.com/property/AGT22114_30879,23-Oct-2021 19:59:56
"4 bed house, Cardiff","Rhymney Street, Cardiff, Cardiff, CF24 4DF",From £79 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/http://images.portalimages.com/29420/31042583/image/s2/637703438892830069/5337e65a9f01e6bd84d1684b7bf327bc10c88270.jpg",https://www.accommodationforstudents.com/property/AGT29420_31042583,23-Oct-2021 19:59:55
"4 bed house, Lincoln","Baggholme Road, Lincoln, Lincoln, LN2 5BQ",From £100 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://studenthousingderby.co.uk/wp-content/uploads/2021/03/DJI_0002-scaled.jpg",https://www.accommodationforstudents.com/property/AGT22114_30916,23-Oct-2021 19:59:56
"4 bed house, Cardiff","May Street, Cardiff, Cardiff, CF24 4EX",From £79 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/http://images.portalimages.com/29420/31044513/image/s2/637704116928953744/b3f710eeac37b2b407fa020de86a223a89aad547.jpg",https://www.accommodationforstudents.com/property/AGT29420_31044513,23-Oct-2021 19:59:55
"4 bed house, Lincoln","St Nicholas Street, Lincoln, Lincoln, LN1 3EQ",From £98 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://studenthousingderby.co.uk/wp-content/uploads/2021/01/WhatsApp-Image-2019-09-17-at-16.02.06-6.jpeg",https://www.accommodationforstudents.com/property/AGT22114_31011,23-Oct-2021 19:59:56
"4 bed house, Cardiff","Gelligaer Street, Cardiff, Cardiff, CF24 4LA",From £79 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/http://images.portalimages.com/29420/31045713/image/s2/637704272764267204/63d1a1b499f5796afe83117b7a6eed7c60f5d05e.jpg",https://www.accommodationforstudents.com/property/AGT29420_31045713,23-Oct-2021 19:59:55
"4 bed house, Lincoln","Kirkby Street, Lincoln, Lincoln, LN5 7TT",From £98 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://studenthousingderby.co.uk/wp-content/uploads/2021/01/IMG-2401-scaled-1.jpg",https://www.accommodationforstudents.com/property/AGT22114_31034,23-Oct-2021 19:59:56
"4 bed house, Cardiff","Arran Street, Cardiff, Cardiff, CF24 3HR",From £76 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/http://images.portalimages.com/29420/31045689/image/s2/637704269961650904/16bf2557835b2577d83551be03b2c3f69be2b37c.jpg",https://www.accommodationforstudents.com/property/AGT29420_31045689,23-Oct-2021 19:59:55
"4 bed flat, Lincoln","Cathedral Court, Lincoln, Lincoln, LN2 5HH",From £81 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/https://studenthousingderby.co.uk/wp-content/uploads/2021/01/WhatsApp-Image-2020-07-16-at-15.19.29.jpg",https://www.accommodationforstudents.com/property/AGT22114_31056,23-Oct-2021 19:59:56
"4 bed house, Cardiff","Alfred Street, Cardiff, Cardiff, CF24 4TY",From £79 pw,,"https://accommodationforstudents.com/cdn-cgi/image/f=auto,q=85,w=375,h=219,fit=cover/http://images.portalimages.com/29420/31045521/image/s2/637704251179217364/77169a04dc99470290c646255bb8f7d540c2baf3.jpg",https://www.accommodationforstudents.com/property/AGT29420_31045521,23-Oct-2021 19:59:55
